hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,capacity,hidden_dim,num_layers,conditioning,alpha,preference_sampling,loss
1.1692031143482569,-0.26966219859417867,0.08899324744884053,0.07781098037958145,1.7710337815879962,0.38380096714664796,1.65568408098746,0.0,1,0.0,1.629504503147378e-13,0.0,0.3838148148148196,0.4335881845363514,0.511745295857121,1.3386548965310556,68103,3514.185491,0.005966854747384787,42,large_concat_seed42,large,128,4,concat,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.26847467903296157,0.1639400679561889,0.10491085797548294,1.8000619632620387,0.433808719161879,1.1074606531990985,0.3038364185056191,2,0.0,2.99914706079448e-12,0.0,0.43411804917866215,0.4074028326745718,0.5358341163158107,2.403598121993781,68103,3605.45029,0.003790784627199173,123,large_concat_seed123,large,128,4,concat,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.2689766610414166,0.1022076480053909,0.13671749830245972,1.787471618433782,0.42815669011707197,1.1603558828453664,0.21107262850709724,2,0.0,2.2671922247096457e-13,0.0,0.4283011063011092,0.4026968125650854,0.5159925650584174,1.5328989435616784,68103,3524.569891,0.0012686788104474545,456,large_concat_seed456,large,128,4,concat,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.26859282999952333,0.0894860833765869,0.07518237084150314,1.7837948699727986,0.3950406098891478,1.9693609793896438,0.18117964950893073,2,0.0,7.289310558570595e-13,0.0,0.3950505050505121,0.4257244946304486,0.5119036993237219,1.3472288791887754,68103,3511.158008,0.005069104954600334,789,large_concat_seed789,large,128,4,concat,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.2680909681331855,0.1093024221169546,0.08397436141967773,1.7912095224598594,0.414237562356748,1.4610376430786076,0.21290978134013955,2,0.0,0.0,0.0,0.4143945078490591,0.4319390287132223,0.5182729118244509,1.6758294425481053,68103,3447.753651,0.013654571026563644,1011,large_concat_seed1011,large,128,4,concat,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.2695612157188506,0.08734943843116645,0.08608225733041763,1.7749942390081932,0.3964998853968639,1.166170884799728,0.2251457315645109,2,0.0,1.1762074143753466e-13,0.0,0.3967612723976385,0.43922173398681763,0.5112169556283152,1.1139406336909254,69127,4083.690899,0.0029788429383188486,42,large_film_seed42,large,128,4,film,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.2689766610414166,0.07042788960550579,0.0737602561712265,1.7768226822024273,0.37998195116037875,1.7516738067092603,0.18140884945165406,2,0.0,3.643732399412629e-14,0.0,0.3799984459984508,0.43825547043212665,0.5057781638452225,0.9022810055376052,69127,4064.972867,0.004687969572842121,123,large_film_seed123,large,128,4,film,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.27005408811418696,0.11013342844793801,0.09492434561252594,1.7762840595821128,0.37785055798156236,1.2900366157317742,0.2622544430169602,2,0.0,0.0,0.0,0.3779332452059808,0.48269780453688504,0.5185400073752905,1.4290692241623715,69127,4013.476123,0.0016766733024269342,456,large_film_seed456,large,128,4,film,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.26859282999952333,0.09963361844190811,0.09151123464107513,1.7745327649933038,0.3708189080328156,1.3257287120886445,0.1760788484388082,3,0.0,0.0,0.0,0.37083386983387384,0.45638928972262316,0.5151652406223659,1.3546852770206461,69127,3830.207333,0.005897147580981255,789,large_film_seed789,large,128,4,film,1.5,dirichlet,trajectory_balance
1.1692031143482569,-0.27002227097433623,0.10088513837760812,0.09290263801813126,1.7423626446862654,0.3954810633109228,1.4499851073435976,0.1419403080335737,5,0.0,7.128968337176542e-14,0.0,0.39552621452621983,0.4125212585034015,0.5155674943647858,1.3699264022136803,69127,3835.171147,0.004192858003079891,1011,large_film_seed1011,large,128,4,film,1.5,dirichlet,trajectory_balance
