hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,condition_name,capacity_level,temperature_level
0.02926268970763714,-0.10436368923253063,0.5944715809419268,0.09979433566331863,1.0813805203831226,0.9089761100945803,0.6931471805599453,0.6697722088805123,2,0.0,0.04715636182098585,0.5944715809419268,0.9039699374699379,0.27876701462013087,0.6560083305829107,100.53948989855033,3745,5683.8826,-0.08932389318943024,42,small_low_seed42,small_low,small,low
0.03165930351363699,-0.09361259688431245,0.5962816415544993,0.09871849417686462,1.0852158992746164,0.8991873317829052,0.6931471805599454,0.6600650109770403,2,0.0,0.0647174138403222,0.5962816415544993,0.8909586339586342,0.2939513131070872,0.6564833483019645,92.81626351113938,3745,6175.584038,-0.11642472445964813,153,small_low_seed153,small_low,small,low
0.03182987264786305,-0.10708688339650059,0.59624185538809,0.09904798120260239,1.0578999654437082,0.9012759376208275,0.6931471805599453,0.6613072917178308,2,0.0,0.03847147834796936,0.59624185538809,0.8969446849446847,0.2803582786592431,0.6564729071411071,58.46713618999969,3745,9803.052228,-0.08020548522472382,264,small_low_seed264,small_low,small,low
0.03079767851057478,-0.11032043405001651,0.5964273078638619,0.09260004013776779,1.0697024001542448,0.8982085122170986,0.6931471805599454,0.6629372560674336,2,0.0,0.054175853186929836,0.5964273078638619,0.886319865319866,0.2980809248554912,0.656521575794202,108.39490840061514,3745,5289.313587,-0.07384666055440903,375,small_low_seed375,small_low,small,low
0.02851089880891969,-0.10027526927347466,0.5950435214864438,0.09889093786478043,1.0613880504809563,0.9055232175310137,0.6931471805599454,0.6596984330129139,2,0.0,0.021748574170506067,0.5950435214864438,0.8939001924001914,0.2986112509818928,0.6561584260498823,130.97226008069316,3745,4367.371021,-0.10611163824796677,486,small_low_seed486,small_low,small,low
0.03481354431730958,-0.10584674197073744,0.5671646021504967,0.10092995315790176,1.1839880087111374,0.9014611121423457,0.6931471805599453,0.6892877928418277,2,0.0,0.02100391726511649,0.5671646021504967,0.8902053872053876,0.3052407749029822,0.648842107148371,140.6198683795888,3745,3877.154518,-0.0975138321518898,42,small_high_seed42,small_high,small,high
0.029416963069518288,-0.09444125273673235,0.5582677513201165,0.10094671696424484,1.2077136612758064,0.9060978136980624,0.6931471805599453,0.69138260153994,2,0.0,0.055822213982062996,0.5582677513201165,0.9003186628186634,0.2789362675624101,0.6465072893202528,135.6326259492792,3745,3956.662892,-0.09146998077630997,153,small_high_seed153,small_high,small,high
0.030705160241169396,-0.10837261957973393,0.5658892551725431,0.11208615452051163,1.1953842088618865,0.9144765574823378,0.6931471805599453,0.6906387622703086,2,0.0,0.06770308948903887,0.5658892551725431,0.9086988936988942,0.2691752873869364,0.6485074153660839,135.1829043077802,3745,4024.022069,-0.049673035740852356,264,small_high_seed264,small_high,small,high
0.04455039136470959,-0.1116686187634797,0.5696004487337085,0.10091738402843475,1.180661059949972,0.8998602210090461,0.6931471805599454,0.6883374642776967,2,0.0,0.038061013278231706,0.5696004487337085,0.8895298220298224,0.29474182615629974,0.6494813510940628,137.58036267944772,3745,3979.830276,-0.0878622904419899,375,small_high_seed375,small_high,small,high
0.05501855654526357,-0.09842458183448047,0.5624378143265585,0.10635235905647278,1.2034422313933457,0.9001506963209313,0.6931471805599453,0.691145879825179,2,0.0,0.05732707911265907,0.5624378143265585,0.8941274651274664,0.28959561727374594,0.6476016470472106,135.54475833114952,3745,3988.801854,-0.07119660824537277,486,small_high_seed486,small_high,small,high
0.032288903931206016,-0.10602988901705947,0.5348684259651563,0.1004716008901596,1.281850569946223,0.9107222851722048,0.6931471805599454,0.692882657034926,2,0.0,0.021114933703009053,0.5348684259651563,0.897646224146225,0.2888714283932603,0.6403665589600065,137.32201265117538,3745,3744.186563,-0.060201048851013184,42,small_veryhigh_seed42,small_veryhigh,small,very_high
0.02813048976483544,-0.09422508908992629,0.5420926957208764,0.0940803661942482,1.2601695871553504,0.9043948578595318,0.6931471805599453,0.693113559983167,2,0.0,0.021189614241180318,0.5420926957208764,0.8965358345358344,0.2910659261231787,0.6422624380909899,138.85489302672977,3745,3752.865899,-0.03966088593006134,153,small_veryhigh_seed153,small_veryhigh,small,very_high
0.041114820133028813,-0.10782156978320825,0.5307948576677649,0.1005043014883995,1.2868555816321061,0.9004930645860425,0.6931471805599454,0.6922223294417533,2,0.0,0.04740285730804097,0.5307948576677649,0.8840536315536323,0.3165621208305671,0.6392975245267969,135.09017450951836,3745,3777.05773,-0.10524289309978485,264,small_veryhigh_seed264,small_veryhigh,small,very_high
0.03566414298441991,-0.10952642962965965,0.5262946545203597,0.09356018900871277,1.299069645922411,0.9024034766939608,0.6931471805599453,0.6916256571430894,2,0.0,0.07740090589690644,0.5262946545203597,0.8919603174603203,0.29627340989958606,0.6381165274819958,135.32233186850095,3745,3738.610013,-0.01824432611465454,375,small_veryhigh_seed375,small_veryhigh,small,very_high
0.04172662110336977,-0.09931380546390697,0.5346935457693078,0.10636048763990402,1.27427611670009,0.9074736842105263,0.6931471805599454,0.6928439136816522,2,0.0,0.06354390690806723,0.5346935457693078,0.8966599326599335,0.29606511535004487,0.6403206648108479,62.80385728796414,3745,8184.069381,0.04349774122238159,486,small_veryhigh_seed486,small_veryhigh,small,very_high
