hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,condition_name,capacity_level,loss_level
1.209999995101796,-0.272222221671385,0.004987996783167278,0.04993686079978943,1.4998285801972038,0.12618566618566618,2.5649493574615367,0.016974359892480945,2,0.0,3.1209352628871786e-09,0.004987996783167278,0.12618566618566232,0.7565186298076922,0.5016031184130422,6.0333846692828,519,5734.562524,7.272321701049805,42,small_tb_seed42,small_tb,small,tb
1.2099997972135246,-0.27222219941107134,2.1946835232803121e-10,3.5644349694052835e-09,1.7301818945945988,0.0,0.6931471805599453,0.0,1,0.0,0.0,2.1946835232803121e-10,0.0,1.0,0.49999991559725726,5.081910502768189e-06,519,299.557387,156.85804748535156,153,small_tb_seed153,small_tb,small,tb
1.2099997972135246,-0.27222219941107134,0.004394993311471975,0.04633704945445061,1.5585131109786163,0.028760622093955426,0.8958797346140275,0.01514579568530939,2,0.0,0.0,0.004394993311471975,0.02876062209395679,0.5779749645478247,0.5014125198784499,5.5483425975180545,519,5494.524212,9.127458572387695,264,small_tb_seed264,small_tb,small,tb
1.2099997972135246,-0.27222219941107134,7.19952529867816e-11,1.817091095646095e-11,1.4281855529432883,0.0,0.6931471805599453,0.0,1,0.0,0.0,7.19952529867816e-11,0.0,1.0,0.4999999155498576,1.683279000974974e-06,519,296.676331,158.92575073242188,375,small_tb_seed375,small_tb,small,tb
1.2099997972135246,-0.27222219941107134,0.000399960533077457,0.014140723273158073,1.499898225572942,0.0,0.6931471805599453,0.0,1,0.0,0.0,0.000399960533077457,0.0,1.0,0.5001284677108747,9.066331824433568,519,305.999468,159.83328247070312,486,small_tb_seed486,small_tb,small,tb
1.2099998020466234,-0.2722221999547395,0.002197799778686204,0.03314799442887306,1.4998980618915958,0.0843706910373577,1.9459101490553132,0.008593084187140158,2,0.0,0.0,0.002197799778686204,0.0843706910373564,0.6281599378881988,0.5007063151299899,5.4034448708487535,519,2821.321272,0.0754733458161354,42,small_subtb_seed42,small_subtb,small,subtb
1.2099997955746564,-0.2722221992267175,0.0019981998193848234,0.03160694241523743,1.4998923876270123,0.053237133237133236,1.0986122886681098,0.007311303848425915,2,0.0,0.0,0.0019981998193848234,0.053237133237134235,0.6471839887640449,0.5006421612732869,4.985342287607521,519,2780.219445,0.07197815924882889,153,small_subtb_seed153,small_subtb,small,subtb
1.2099997955746564,-0.2722221992267175,0.000799759975278237,0.019995983690023422,1.499897352606175,0.05682219015552349,1.0986122886681098,0.0,1,0.0,0.0,0.000799759975278237,0.05682219015552413,0.527128537735849,0.5002569681184633,1.9748885982372664,519,2809.00302,0.06313525140285492,264,small_subtb_seed264,small_subtb,small,subtb
1.2099998098309546,-0.2722222008303874,0.001399159914925371,0.02644824981689453,1.4998999270370637,0.034805194805194804,0.6931471805599453,0.005784855898857958,2,0.0,5.04870841906821e-19,0.001399159914925371,0.03480519480519604,0.5574781586021504,0.5004496225557211,3.4911791535068404,519,2779.907605,0.7851346731185913,375,small_subtb_seed375,small_subtb,small,subtb
1.2099997972135246,-0.27222219941107134,0.0014129786959294318,0.02519574761390686,1.6232660947646205,0.01769119769119769,0.6931471805599453,0.004500205972584393,2,0.0,0.0,0.0014129786959294318,0.01769119769119832,0.537822646103896,0.5004540640801556,3.5594227965795664,519,2753.538665,0.1846439689397812,486,small_subtb_seed486,small_subtb,small,subtb
1.2099998019070601,-0.2722221999390403,0.0005998799868843033,0.017317911610007286,1.4998999169489449,0.0977008177008177,1.9459101490553132,0.0,1,0.0,0.0,0.0005998799868843033,0.09770081770081673,0.6006701923076925,0.5001927248765485,0.9047287924668465,519,4599.187386,0.11173495650291443,42,small_subtb_entropy_seed42,small_subtb_entropy,small,subtb_entropy
1.2099997955746564,-0.2722221992267175,0.0007997599755641211,0.019995994865894318,1.499899371343366,0.043367003367003366,0.6931471805599453,0.0,1,0.0,0.0,0.0007997599755641211,0.04336700336700435,0.5787694377990431,0.5002569681185551,1.2291742547775304,519,4513.166475,0.05470000579953194,153,small_subtb_entropy_seed153,small_subtb_entropy,small,subtb_entropy
1.2099998098309546,-0.2722222008303874,0.000999599959528066,0.022355085238814354,1.499899371343366,0.09362514029180696,1.9459101490553132,0.004300326008932444,2,0.0,0.0,0.000999599959528066,0.09362514029180648,0.572295185810811,0.5003211991221066,1.5388156067810896,519,4505.829878,0.02388612926006317,264,small_subtb_entropy_seed264,small_subtb_entropy,small,subtb_entropy
1.2099997955746564,-0.2722221992267175,0.001798559854931187,0.02998649701476097,1.4998998825646122,0.042722462722462724,0.6931471805599453,0.0072113988936212715,2,0.0,0.0,0.001798559854931187,0.04272246272246402,0.509253756830601,0.500577994558441,2.798339638445557,519,4458.200683,0.05511082336306572,375,small_subtb_entropy_seed375,small_subtb_entropy,small,subtb_entropy
1.2099997972135246,-0.27222219941107134,0.001212534298004661,0.023230159655213356,1.5888163850917942,0.017742504409171075,0.6931471805599453,0.004400270993760284,2,0.0,0.0,0.001212534298004661,0.017742504409171824,0.5442410714285715,0.5003896388105995,1.897422578736537,519,4432.667042,0.7368419766426086,486,small_subtb_entropy_seed486,small_subtb_entropy,small,subtb_entropy
