hypervolume,r2_indicator,avg_pairwise_distance,spacing,spread,tds,mpd,mce,num_modes,pmd,pfs,pas,rbd,fci,qds,der,num_parameters,training_time,final_loss,seed,exp_name,condition_name,temperature_level,loss_level
0.036743707835272414,-0.10074380962001006,0.5836714144577758,0.09741868823766708,1.0901042641938603,0.9028557991273222,0.6931471805599453,0.6534713790556037,2,0.0,0.05914660453463708,0.5836714144577758,0.8947017797017806,0.2862487468302177,0.6531740219343121,5.745083547923545,73505,4975.740175,0.03833448886871338,42,low_tb_seed42,low_tb,low,tb
0.026854528841576884,-0.09468332448409007,0.5912321488678612,0.13018721342086792,1.0769888246295463,0.9012518857687319,0.6931471805599453,0.6606382579114698,2,0.0,0.12392529336791845,0.5912321488678612,0.8898306878306879,0.3044025448593224,0.6551582001374638,6.44805393370031,73505,4490.709881,0.04219454899430275,153,low_tb_seed153,low_tb,low,tb
0.03652139935657858,-0.10562798339515693,0.5862774012224372,0.09269386529922485,1.1083719637400538,0.9100755534421725,0.6931471805599454,0.6691932977925318,2,0.0,0.05903474543582646,0.5862774012224372,0.8971390091390083,0.29463923176871853,0.6538579160979856,6.4386504390817505,73505,4459.579655,0.09306763857603073,264,low_tb_seed264,low_tb,low,tb
0.030375251735665135,-0.10353921976779806,0.581119001496376,0.09802035242319107,1.0923198639445362,0.8976473944958888,0.6931471805599453,0.6585285338215545,2,0.0,0.04316967632681155,0.581119001496376,0.8917104377104377,0.29973870330360275,0.6525041872477906,6.475104872568245,73505,4395.455508,0.03836025297641754,375,low_tb_seed375,low_tb,low,tb
0.030542279612296698,-0.10785716689679964,0.590557782907942,0.09803079813718796,1.1036768058916835,0.8979032767885365,0.6931471805599453,0.6562408704276685,2,0.0,0.07595318367767818,0.590557782907942,0.8887604617604622,0.3003155296319151,0.6549812249699677,6.538991890540295,73505,4423.206524,0.050485994666814804,486,low_tb_seed486,low_tb,low,tb
0.030311991933537827,-0.10109643254990369,0.5813930235358739,0.10190171748399734,1.1466926925399599,0.9184810255366772,0.6931471805599453,0.6915331918532712,2,0.0,0.05108213958494136,0.5813930235358739,0.9163727753727756,0.2598486390108239,0.6525760993833669,7.334362334801381,73505,3882.335594,0.14020957052707672,42,low_subtb_seed42,low_subtb,low,subtb
0.04790672582528533,-0.09565034831344503,0.5642468145004121,0.10188121348619461,1.2005208596079229,0.9106397066313537,0.6931471805599453,0.6925825579736531,2,0.0,0.023584540365199982,0.5642468145004121,0.9088400673400678,0.2619357181343267,0.6480763864732735,7.145662054235551,73505,3867.33917,0.09720444679260254,153,low_subtb_seed153,low_subtb,low,subtb
0.02637465508476612,-0.10583417703892749,0.5980128208152453,0.10146040469408035,1.078518939815509,0.9109986835652152,0.6931471805599453,0.6814274039254118,2,0.0,0.04415298870416303,0.5980128208152453,0.9055192400192403,0.2774348151079453,0.656937665034786,7.351447142944061,73505,3984.03619,0.05151817947626114,264,low_subtb_seed264,low_subtb,low,subtb
0.0317401994743927,-0.10407069795512294,0.5705469193768165,0.10173770040273666,1.1535605351877993,0.9186558754226002,0.6931471805599454,0.6919222044305307,2,0.0,0.01938166563930607,0.5705469193768165,0.9139882154882164,0.26368517277608183,0.6497297352215985,7.284169357842717,73505,3836.162088,0.05710403248667717,375,low_subtb_seed375,low_subtb,low,subtb
0.02925060505743725,-0.11046225604915463,0.6015216203534458,0.10151646286249161,1.0866816990003414,0.9119240148889745,0.6931471805599453,0.6808663444564389,2,0.0,0.05305245150243606,0.6015216203534458,0.9075161135161135,0.2662726110377498,0.6578584861065644,3.5137901305682298,73505,8384.188654,0.0502435602247715,486,low_subtb_seed486,low_subtb,low,subtb
